OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,153458,210267,131631,105835,82069
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,169255,208535,144062,114716,86208
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,147578,235597,159052,122782,100896
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,205763,249046,169806,141247,101705
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,185205,228877,157058,128691,86009
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,209426,293485,189881,153382,107844
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,166228,218062,142116,116071,92259
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,TRUE,2018-06-01T00:00:00,2018-06-30T23:59:59,Month,2018-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,179777,236460,159086,128553,97690
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,148439,204155,126915,101986,79137
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,169740,209738,143974,114516,86088
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,148102,237261,159485,123072,101216
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,201168,244138,165449,137449,99313
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,187911,233028,158727,130008,87075
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,210976,296579,190835,154030,108546
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,169013,222512,144076,117512,93445
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-05-01T00:00:00,2018-05-31T23:59:59,Month,2018-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,179727,236971,158598,128328,97366
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,149205,205138,127344,102521,80245
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,167549,207038,141951,113081,85519
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,150295,240765,161688,124852,103177
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-04-01T00:00:00,2018-04-30T23:59:59,Month,2018-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,198054,240464,162710,135188,98368
