amtsave,brand,breadcrumbs,country,desc,discount,domain,gallery,image,insertedon,list_price,model,name,other_sellers,payment_methods_supported,productcode,selling_price,specifications,type,uniq_id,url,weight
72,"",Books | Literature & Fiction | Romance | C.J.'s Fate,IN,"{""Description""=>{""Product Code""=>""9780553590487_20567"", ""ISBN-13""=>""9780553590487"", ""ISBN-10""=>""553590480"", ""Authored By""=>""Kay Hooper"", ""Publication Year""=>""2007"", ""Imprint""=>""Bantam"", ""Binding""=>""Others"", ""Languages""=>""English"", ""ISBN 13""=>""9780553590487""}, ""Shipping Details""=>{""Estimated Arrival""=>""8 - 11 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",20%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780553590487_20567/0x1920/70/1.jpg,2016-05-18 08:01:18 +0000,358,439730,C.J.'s Fate,"[{""name"":""A1"",""id"":44120,""offer_text"":null,""offer_price"":359,""totalScore"":-359,""product_id"":10050188,""url"":""https://catalog.paytm.com/v1/p/c-j-s-fate-9780553590487_44120"",""seourl"":""https://catalog.paytm.com/v1/p/c-j-s-fate-9780553590487_44120"",""exist"":true,""applied"":false}]","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",2431977,286,"{""specifications""=>{""binding""=>""Others"", ""languages""=>""English"", ""publication_year""=>""2007"", ""isbn_13""=>""9780553590487"", ""publisher_name""=>""CRC Press""}}",Bestseller Books,0448410537f096ca8766c1072d1e4419,https://paytm.com/shop/p/c-j-s-fate-9780553590487_20567,""
117,Rupa Publications India,Books | Literature & Fiction | Short Stories | Chandrakanta,IN,"{""Description""=>{""Brand""=>""Rupa Publications India"", ""Product Code""=>""9788129131126_30212"", ""ISBN-13""=>""9788129131126"", ""ISBN-10""=>""8129131129"", ""Authored By""=>""Devaki Nandan Khatri"", ""Language""=>""English"", ""Publication Year""=>""2015"", ""Publisher Name""=>""Rupa Publications "", ""No. Of Pages""=>""428"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""8 - 11 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",30%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9788129131126_30212/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,395,6448,Chandrakanta,"[{""name"":""comma365 "",""id"":21057,""offer_text"":null,""offer_price"":316,""totalScore"":-316,""product_id"":34179194,""url"":""https://catalog.paytm.com/v1/p/chandrakanta-9788129131126_21057"",""seourl"":""https://catalog.paytm.com/v1/p/chandrakanta-9788129131126_21057"",""exist"":true,""applied"":false},{""name"":""Starmark "",""id"":20822,""offer_text"":null,""offer_price"":356,""totalScore"":-356,""product_id"":30565113,""url"":""https://catalog.paytm.com/v1/p/chandrakanta-9788129131126_20822"",""seourl"":""https://catalog.paytm.com/v1/p/chandrakanta-9788129131126_20822"",""exist"":true,""applied"":false},{""name"":""Aarohi Online Book Shop"",""id"":188121,""offer_text"":null,""offer_price"":495,""totalScore"":-495,""product_id"":41585405,""url"":""https://catalog.paytm.com/v1/p/chandrakanta-AOBS-215_188121"",""seourl"":""https://catalog.paytm.com/v1/p/chandrakanta-AOBS-215_188121"",""exist"":true,""applied"":false}]","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",22655539,278,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2015"", ""publisher_name""=>""Rupa Publications India""}}",Bestseller Books,52c9952541baf44c0f507523b50d8895,https://paytm.com/shop/p/chandrakanta-9788129131126_30212,500
57,Random House,Books | Literature & Fiction | Romance | Heart Of Dixie,IN,"{""Description""=>{""Brand""=>""Random House"", ""Product Code""=>""9780553591446_44120"", ""ISBN-10""=>""553591444"", ""Authored By""=>""Tami Hoag"", ""Language""=>""English"", ""Edition""=>""2"", ""Publication Year""=>""2008"", ""Publisher Name""=>""Random House"", ""No. Of Pages""=>""288"", ""Imprint""=>""Bantam Press"", ""Weight""=>""410 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""ISBN 13""=>""9780553591446""}, ""Shipping Details""=>{""Estimated Arrival""=>""23 - 26 days"", ""Return Policy""=>""Seller will accept returns within  7 days from date of delivery of the item only in the case of damaged, defective or wrong products received. Order once placed , will not be cancelled.""}}",14%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780553591446_44120/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,416,4244,Heart Of Dixie,"","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",13587974,359,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2008"", ""isbn_13""=>""9780553591446"", ""publisher_name""=>""Random House""}}",Bestseller Books,9711331d3e9d6883a5ec4d9c6422bbf1,https://paytm.com/shop/p/heart-of-dixie-9780553591446_44120,500
84,Transworld Publishers,Books | Literature & Fiction | General | Perfect Life,IN,"{""Description""=>{""Brand""=>""Transworld Publishers"", ""Product Code""=>""9780552165891_20567"", ""ISBN-13""=>""9780552165891"", ""ISBN-10""=>""552165891"", ""Authored By""=>""Danielle Steel"", ""Publication Year""=>""2015"", ""Publisher Name""=>""Transworld Publishers"", ""No. Of Pages""=>""368"", ""Imprint""=>""Corgi"", ""Weight""=>""381 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",21%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780552165891_20567/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,399,6216,Perfect Life,"[{""name"":""comma365 "",""id"":21057,""offer_text"":null,""offer_price"":319,""totalScore"":-319,""product_id"":30214839,""url"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_21057"",""seourl"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_21057"",""exist"":true,""applied"":false},{""name"":""Sagar Enterprises"",""id"":27296,""offer_text"":null,""offer_price"":319,""totalScore"":-319,""product_id"":20862294,""url"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_27296"",""seourl"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_27296"",""exist"":true,""applied"":false},{""name"":""BOOKSMANDI"",""id"":27017,""offer_text"":null,""offer_price"":339,""totalScore"":-339,""product_id"":26859596,""url"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_27017"",""seourl"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_27017"",""exist"":true,""applied"":false},{""name"":""Dux Marketing Services"",""id"":57088,""offer_text"":null,""offer_price"":369,""totalScore"":-369,""product_id"":39825768,""url"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_57088"",""seourl"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_57088"",""exist"":true,""applied"":false},{""name"":""Booknest"",""id"":21345,""offer_text"":null,""offer_price"":399,""totalScore"":-399,""product_id"":51086906,""url"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_21345"",""seourl"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_21345"",""exist"":true,""applied"":false},{""name"":""All I Need"",""id"":124132,""offer_text"":null,""offer_price"":399,""totalScore"":-399,""product_id"":33123435,""url"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_124132"",""seourl"":""https://catalog.paytm.com/v1/p/perfect-life-9780552165891_124132"",""exist"":true,""applied"":false}]","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",29545536,315,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2015"", ""publisher_name""=>""Transworld Publishers""}}",Bestseller Books,9c958ff1564bec8e4c392849f803b855,https://paytm.com/shop/p/perfect-life-9780552165891_20567,500
1050,Books,Books | Literature & Fiction | Literature | Paulo Coelho The Golden Collection,IN,"{""Description""=>{""Brand""=>""Books"", ""Product Code""=>""9780008140168_95913"", ""ISBN-13""=>""9780008140168"", ""ISBN-10""=>""8140162"", ""Language""=>""English"", ""Publication Year""=>""2015"", ""Publisher Name""=>""Books"", ""No. Of Pages""=>""2848"", ""Weight""=>""500 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",35%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780008140168_95913/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,2999,12961,Paulo Coelho The Golden Collection,"[{""name"":""NSGlobal"",""id"":95907,""offer_text"":null,""offer_price"":1949,""totalScore"":-1949,""product_id"":23072192,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_95907"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_95907"",""exist"":true,""applied"":false},{""name"":""GS RETAIL"",""id"":97246,""offer_text"":null,""offer_price"":1949,""totalScore"":-1949,""product_id"":23082924,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_97246"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_97246"",""exist"":true,""applied"":false},{""name"":""Onebuy.in"",""id"":23843,""offer_text"":null,""offer_price"":2249,""totalScore"":-2249,""product_id"":23350014,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_23843"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_23843"",""exist"":true,""applied"":false},{""name"":""BSSdelhi"",""id"":80189,""offer_text"":null,""offer_price"":2308,""totalScore"":-2308,""product_id"":19451561,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_80189"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_80189"",""exist"":true,""applied"":false},{""name"":""Book Place"",""id"":191287,""offer_text"":null,""offer_price"":2339,""totalScore"":-2339,""product_id"":38656377,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_191287"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_191287"",""exist"":true,""applied"":false},{""name"":""BookNow"",""id"":20567,""offer_text"":null,""offer_price"":2369,""totalScore"":-2369,""product_id"":29545315,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_20567"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_20567"",""exist"":true,""applied"":false},{""name"":""comma365 "",""id"":21057,""offer_text"":null,""offer_price"":2399,""totalScore"":-2399,""product_id"":10758059,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_21057"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_21057"",""exist"":true,""applied"":false},{""name"":""BOOKSMANDI"",""id"":27017,""offer_text"":null,""offer_price"":2549,""totalScore"":-2549,""product_id"":11990089,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_27017"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_27017"",""exist"":true,""applied"":false},{""name"":""ALEKIP TRADELINK PRIVATE LIMITED"",""id"":40780,""offer_text"":null,""offer_price"":2652,""totalScore"":-2652,""product_id"":38277195,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_40780"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_40780"",""exist"":true,""applied"":false},{""name"":""All I Need"",""id"":124132,""offer_text"":null,""offer_price"":2699,""totalScore"":-2699,""product_id"":33120900,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_124132"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_124132"",""exist"":true,""applied"":false},{""name"":""Booknest"",""id"":21345,""offer_text"":null,""offer_price"":2759,""totalScore"":-2759,""product_id"":51077971,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_21345"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_21345"",""exist"":true,""applied"":false},{""name"":""Patiha Business Solutions Private Limited"",""id"":225808,""offer_text"":null,""offer_price"":2999,""totalScore"":-2999,""product_id"":48755101,""url"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_225808"",""seourl"":""https://catalog.paytm.com/v1/p/paulo-coelho-the-golden-collection-9780008140168_225808"",""exist"":true,""applied"":false}]","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",23104384,1949,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2015"", ""publisher_name""=>""Books""}}",Bestseller Books,ee815b21e85386cfc720885043aa7d7d,https://paytm.com/shop/p/paulo-coelho-the-golden-collection-9780008140168_95913,500
63,Random House Publishing Group,Books | Literature & Fiction | Suspense Thriller | The Devil's Banker,IN,"{""Description""=>{""Brand""=>""Random House Publishing Group"", ""Product Code""=>""9780440241423_44120"", ""ISBN-13""=>""9780440241423"", ""ISBN-10""=>""440241421"", ""Authored By""=>""Christopher Reich"", ""Publication Year""=>""2004"", ""Imprint""=>""Dell Books"", ""Binding""=>""Others"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""23 - 26 days"", ""Return Policy""=>""Seller will accept returns within  7 days from date of delivery of the item only in the case of damaged, defective or wrong products received. Order once placed , will not be cancelled.""}}",14%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780440241423_44120/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,462,8095,The Devil's Banker,"","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",12136614,399,"{""specifications""=>{""binding""=>""Others"", ""languages""=>""English"", ""publication_year""=>""2004""}}",Bestseller Books,e3d3261619c9f22a48240608c6785d65,https://paytm.com/shop/p/the-devil-s-banker-9780440241423_44120,500
75,Dell,Books | Literature & Fiction | Suspense Thriller | The Brethren,IN,"{""Description""=>{""Brand""=>""Dell"", ""Product Code""=>""9780345531971_44120"", ""ISBN-13""=>""9780345531971"", ""ISBN-10""=>""345531973"", ""Authored By""=>""John Grisham"", ""Language""=>""English"", ""Publication Year""=>""2012"", ""Publisher Name""=>""Dell"", ""No. Of Pages""=>""448"", ""Imprint""=>""Dell"", ""Dimensions (L X B X H)""=>""7.5 X 1 X 1.25 Inch"", ""Weight""=>""500gm"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""23 - 26 days"", ""Return Policy""=>""Seller will accept returns within  7 days from date of delivery of the item only in the case of damaged, defective or wrong products received. Order once placed , will not be cancelled.""}}",14%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780345531971_44120/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,554,1758,The Brethren,"","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",10046244,479,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2012"", ""publisher_name""=>""CRC Press""}}",Bestseller Books,b6409cddb3bc551cb0e296bde7575996,https://paytm.com/shop/p/the-brethren-9780345531971_44120,500
53,Random House,Books | Literature & Fiction | General | The Innocent,IN,"{""Description""=>{""Brand""=>""Random House"", ""Product Code""=>""9780099588832_154876"", ""ISBN-13""=>""9780099588832"", ""ISBN-10""=>""99588838"", ""Authored By""=>""Stevens, Taylor"", ""Language""=>""English"", ""Publication Year""=>""2014"", ""Publisher Name""=>""Random House"", ""No. Of Pages""=>""352"", ""Imprint""=>""Arrow"", ""Weight""=>""395 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",11%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780099588832_154876/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,485,4244,The Innocent,"","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",32878233,432,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2014"", ""publisher_name""=>""Pan Macmillan""}}",Bestseller Books,9ba274bb1470e7771b2f872990444e2e,https://paytm.com/shop/p/the-innocent-9780099588832_154876,500
63,Random House Publishing Group,Books | Literature & Fiction | Romance | True Love,IN,"{""Description""=>{""Brand""=>""Random House Publishing Group"", ""Product Code""=>""9780345541819_44120"", ""ISBN-13""=>""9780345541819"", ""ISBN-10""=>""345541812"", ""Authored By""=>""Jude Deveraux"", ""Publication Year""=>""2014"", ""Imprint""=>""Ballantine Books"", ""Binding""=>""Others"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""23 - 26 days"", ""Return Policy""=>""Seller will accept returns within  7 days from date of delivery of the item only in the case of damaged, defective or wrong products received. Order once placed , will not be cancelled.""}}",14%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780345541819_44120/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,462,8095,True Love,"","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",13669961,399,"{""specifications""=>{""binding""=>""Others"", ""languages""=>""English"", ""publication_year""=>""2014"", ""publisher_name""=>""Random House Publishing Group""}}",Bestseller Books,e9b2c1a9f95d7cb687b2c1ce93c146da,https://paytm.com/shop/p/true-love-a-nantucket-brides-novel-9780345541819_44120,500
90,Harper Collins Publishers India,Books | Literature & Fiction | General | Warriors: Power of Three #3: Outcast,IN,"{""Description""=>{""Brand""=>""Harper Collins Publishers India"", ""Product Code""=>""9780062367105_225808"", ""ISBN-13""=>""9780062367105"", ""ISBN-10""=>""62367102"", ""Authored By""=>""Erin Hunter"", ""Publication Year""=>""2015"", ""Publisher Name""=>""Harper Collins Publishers India"", ""No. Of Pages""=>""368"", ""Weight""=>""500 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""Imprint""=>""HarperCollins""}, ""Shipping Details""=>{""Estimated Arrival""=>""7 - 10 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",36%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9780062367105_225808/0x1920/70/0.JPG,2016-05-18 08:01:18 +0000,250,5789,Warriors: Power of Three #3: Outcast,"","[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",44858122,160,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2015"", ""publisher_name""=>""Harper Collins Publishers India"", ""imprint""=>""HarperCollins""}}",Bestseller Books,610a3568412a2288580291f0918ceb73,https://paytm.com/shop/p/warriors-power-of-three-3-outcast-9780062367105_225808,500
58,Vsp International Science Publishers,Books | Literature & Fiction | Suspense Thriller | Item Girl,IN,"{""Description""=>{""Brand""=>""Vsp International Science Publishers"", ""Product Code""=>""9788129134806_20038"", ""ISBN-13""=>""9788129134806"", ""ISBN-10""=>""8129134802"", ""Authored By""=>""Richa Lakhera"", ""Edition""=>""1"", ""Publication Year""=>""2014"", ""Publisher Name""=>""Rupa Publication"", ""No. Of Pages""=>""311"", ""Weight""=>""500 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""ISBN 13""=>""9788129134806""}, ""Shipping Details""=>{""Estimated Arrival""=>""12 - 15 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",30%%,https://catalog.paytm.com,"",https://assetscdn.paytm.com/images/catalog/product/9/97/9788129134806_20038/0x1920/70/9.jpg,2016-05-18 08:01:18 +0000,195,12413,Item Girl,"[{""name"":""Bookcentre"",""id"":30212,""offer_text"":null,""offer_price"":144,""totalScore"":-144,""product_id"":6173584,""url"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_30212"",""seourl"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_30212"",""exist"":true,""applied"":false},{""name"":""Onebuy.in"",""id"":23843,""offer_text"":null,""offer_price"":146,""totalScore"":-146,""product_id"":9494492,""url"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_23843"",""seourl"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_23843"",""exist"":true,""applied"":false},{""name"":""BOOK BAZAAR"",""id"":20040,""offer_text"":null,""offer_price"":148,""totalScore"":-148,""product_id"":7120940,""url"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_20040"",""seourl"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_20040"",""exist"":true,""applied"":false},{""name"":""comma365 "",""id"":21057,""offer_text"":null,""offer_price"":156,""totalScore"":-156,""product_id"":30214128,""url"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_21057"",""seourl"":""https://catalog.paytm.com/v1/p/item-girl-9788129134806_21057"",""exist"":true,""applied"":false},{""name"":""Advantage books"",""id"":66670,""offer_text"":null,""offer_price"":175,""totalScore"":-175,""product_id"":14713668,""url"":""https://catalog.paytm.com/v1/p/item-girl-english-paperback-9788129134806_66670"",""seourl"":""https://catalog.paytm.com/v1/p/item-girl-english-paperback-9788129134806_66670"",""exist"":true,""applied"":false}]","[""Cash On Delivery"", ""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",6130321,137,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2014"", ""isbn_13""=>""9788129134806"", ""publisher_name""=>""Vsp International Science Publishers""}}",Bestseller Books,0c29088aaee7e7a716b35883896fa752,https://paytm.com/shop/p/item-girl-9788129134806_20038,500
